UTC Timestamp,INJ Amount,USD Amount
9/19/24 00:00,"10,486.22 INJ","$234,497.11 usd"
9/12/24 00:00,"10,531.16 INJ","$235,502.00 usd"
9/5/24 00:00,"9,325.06 INJ","$208,530.83 usd"
8/29/24 00:00,"10,900.00 INJ","$243,750.16 usd"
8/22/24 00:00,"21,850.00 INJ","$488,618.44 usd"
8/15/24 00:00,"30,700.00 INJ","$686,525.68 usd"
8/8/24 00:00,"22,600.00 INJ","$362,504.00 usd"
8/1/24 00:00,"15,400.00 INJ","$354,508.00 usd"
7/25/24 00:00,"13,950.00 INJ","$352,656.00 usd"
7/18/24 00:00,"14,300.00 INJ","$368,940.00 usd"
7/11/24 00:00,"16,800.00 INJ","$349,608.00 usd"
7/4/24 00:00,"15,850.00 INJ","$341,884.50 usd"
6/27/24 00:00,"10,100.00 INJ","$228,866.00 usd"
6/20/24 00:00,"15,531.00 INJ","$324,753.21 usd"
6/13/24 00:00,"10,419.00 INJ","$324,447.66 usd"
6/6/24 00:00,"12,266.00 INJ","$322,227.82 usd"
5/30/24 00:00,"12,194.00 INJ","$321,799.66 usd"
5/23/24 00:00,"11,759.00 INJ","$322,431.78 usd"
5/16/24 00:00,"13,925.00 INJ","$294,653.00 usd"
5/9/24 00:00,"12,802.00 INJ","$304,815.62 usd"
5/2/24 00:00,"13,181.00 INJ","$298,549.65 usd"
4/25/24 00:00,"10,650.00 INJ","$308,317.50 usd"
4/18/24 00:00,"11,678.00 INJ","$293,818.48 usd"
4/11/24 00:00,"9,666.00 INJ","$316,658.16 usd"
4/4/24 00:00,"8,277.00 INJ","$281,169.69 usd"
3/28/24 00:00,"7,289.00 INJ","$285,145.68 usd"
3/21/24 00:00,"6,920.00 INJ","$250,642.40 usd"
3/14/24 00:00,"5,129.00 INJ","$257,527.09 usd"
3/7/24 00:00,"6,120.00 INJ","$230,418.00 usd"
2/29/24 00:00,"5,939.00 INJ","$235,600.13 usd"
2/22/24 00:00,"6,255.66 INJ","$219,448.64 usd"
2/15/24 00:00,"6,100.00 INJ","$217,648.00 usd"
2/8/24 00:00,"6,849.00 INJ","$219,921.39 usd"
2/1/24 00:00,"5,643.00 INJ","$195,191.37 usd"
1/25/24 00:00,"5,502.00 INJ","$183,931.86 usd"
1/18/24 00:00,"3,434.11 INJ","$138,635.02 usd"
1/11/24 00:00,"3,859.63 INJ","$143,887.01 usd"
1/4/24 00:00,"3,584.00 INJ","$117,125.12 usd"
12/28/23 00:00,"3,420.00 INJ","$131,841.00 usd"
12/21/23 00:00,"2,800.00 INJ","$118,972.00 usd"
12/14/23 00:00,"2,631.00 INJ","$65,827.62 usd"
12/7/23 00:00,"3,284.00 INJ","$57,207.28 usd"
11/30/23 00:00,"3,835.00 INJ","$64,926.55 usd"
11/23/23 00:00,"4,813.00 INJ","$74,408.98 usd"
11/16/23 00:00,"3,222.00 INJ","$54,677.34 usd"
11/9/23 00:00,"3,063.00 INJ","$52,714.23 usd"
11/2/23 00:00,"4,290.00 INJ","$60,102.90 usd"
10/26/23 00:00,"2,754.00 INJ","$33,653.88 usd"
10/19/23 00:00,"3,963.00 INJ","$31,386.96 usd"
10/12/23 00:00,"5,000.00 INJ","$36,400.00 usd"
10/5/23 00:00,"3,482.00 INJ","$26,149.82 usd"
9/28/23 00:00,"4,084.00 INJ","$29,813.20 usd"
9/21/23 00:00,"4,090.00 INJ","$30,347.80 usd"
9/14/23 00:00,"3,456.00 INJ","$24,192.00 usd"
9/7/23 00:00,"3,497.00 INJ","$23,884.51 usd"
8/31/23 00:00,"4,926.00 INJ","$35,073.12 usd"
8/24/23 00:00,"2,804.00 INJ","$20,973.92 usd"
8/17/23 00:00,"4,407.00 INJ","$31,289.70 usd"
8/10/23 00:00,"2,202.00 INJ","$17,638.02 usd"
8/3/23 00:00,"2,733.00 INJ","$22,027.98 usd"
7/27/23 00:00,"5,502.00 INJ","$43,905.96 usd"
7/20/23 00:00,"2,690.00 INJ","$24,479.00 usd"
7/13/23 00:00,"3,321.00 INJ","$27,198.99 usd"
7/6/23 00:00,"4,150.79 INJ","$34,949.67 usd"
6/29/23 00:00,"6,125.00 INJ","$47,101.25 usd"
6/22/23 00:00,"3,400.00 INJ","$23,783.00 usd"
6/15/23 00:00,"4,512.00 INJ","$28,064.64 usd"
6/8/23 00:00,"2,755.00 INJ","$19,725.80 usd"
6/1/23 00:00,"2,175.50 INJ","$15,707.11 usd"
5/25/23 00:00,"2,426.05 INJ","$15,817.85 usd"
5/18/23 00:00,"2,235.58 INJ","$13,547.58 usd"
5/11/23 00:00,"2,100.00 INJ","$13,125.00 usd"
5/4/23 00:00,"1,611.02 INJ","$12,179.29 usd"
4/27/23 00:00,"2,114.27 INJ","$17,844.46 usd"
4/20/23 00:00,"1,159.00 INJ","$10,338.28 usd"
4/13/23 00:00,"1,002.60 INJ","$6,657.26 usd"
4/6/23 00:00,"1,100.00 INJ","$6,028.00 usd"
3/30/23 00:00,"1,600.00 INJ","$6,944.00 usd"
3/23/23 00:00,"3,246.00 INJ","$13,633.20 usd"
3/16/23 00:00,"3,300.00 INJ","$13,695.00 usd"
3/9/23 00:00,"4,715.00 INJ","$14,475.05 usd"
3/2/23 00:00,"8,720.00 INJ","$32,351.20 usd"
2/23/23 00:00,"3,000.00 INJ","$11,340.00 usd"
2/16/23 00:00,"2,400.00 INJ","$8,952.00 usd"
2/9/23 00:00,"2,063.00 INJ","$8,293.26 usd"
2/2/23 00:00,"2,000.00 INJ","$6,074.60 usd"
1/26/23 00:00,"4,500.00 INJ","$8,697.60 usd"
1/19/23 00:00,"2,888.00 INJ","$4,758.85 usd"
1/12/23 00:00,"2,305.75 INJ","$3,029.99 usd"
1/5/23 00:00,"1,970.00 INJ","$2,500.72 usd"
12/29/22 00:00,"2,686.00 INJ","$3,191.24 usd"
12/22/22 00:00,"4,000.00 INJ","$5,336.80 usd"
12/15/22 00:00,"3,922.00 INJ","$6,426.98 usd"
12/8/22 00:00,"4,035.10 INJ","$6,462.21 usd"
12/1/22 00:00,"5,000,000.00 INJ","$8,607,000.00 usd"
11/24/22 00:00,"4,500.00 INJ","$7,685.55 usd"
11/17/22 00:00,"5,909.00 INJ","$9,940.12 usd"
11/10/22 00:00,"4,067.00 INJ","$7,052.58 usd"
11/3/22 00:00,"1,800.00 INJ","$4,356.72 usd"
10/27/22 00:00,"2,650.00 INJ","$5,524.72 usd"
10/20/22 00:00,"2,136.00 INJ","$4,374.96 usd"
10/13/22 00:00,"2,259.00 INJ","$4,187.96 usd"
10/6/22 00:00,"2,764.00 INJ","$4,913.84 usd"
9/29/22 00:00,"3,755.00 INJ","$6,508.54 usd"
9/22/22 00:00,"2,510.00 INJ","$3,794.12 usd"
9/15/22 00:00,"1,680.00 INJ","$2,813.16 usd"
9/8/22 00:00,"2,131.00 INJ","$3,190.11 usd"
9/1/22 00:00,"2,600.00 INJ","$4,083.04 usd"
8/25/22 00:00,"1,740.00 INJ","$3,103.46 usd"
8/18/22 00:00,"1,461.00 INJ","$3,029.09 usd"
8/11/22 00:00,"1,850.00 INJ","$2,805.34 usd"
8/4/22 00:00,"2,300.00 INJ","$3,334.08 usd"
7/28/22 00:00,"2,848.00 INJ","$3,534.94 usd"
7/21/22 00:00,"4,520.00 INJ","$6,308.11 usd"
7/14/22 00:00,"7,250.00 INJ","$8,768.88 usd"
7/7/22 00:00,"6,416.00 INJ","$8,112.39 usd"
6/30/22 00:00,"9,628.00 INJ","$12,354.65 usd"
6/23/22 00:00,"13,032.50 INJ","$17,906.66 usd"
6/16/22 00:00,"8,100.00 INJ","$11,866.50 usd"
6/9/22 00:00,"4,522.00 INJ","$8,609.89 usd"
6/2/22 00:00,"6,200.00 INJ","$13,689.60 usd"
5/26/22 00:00,"14,100.00 INJ","$31,273.80 usd"
5/19/22 00:00,"32,100.00 INJ","$79,447.50 usd"
5/12/22 00:00,"16,700.00 INJ","$44,555.60 usd"
5/5/22 00:00,"13,028.99 INJ","$56,806.40 usd"
4/28/22 00:00,"12,775.00 INJ","$53,144.00 usd"
4/21/22 00:00,"15,474.00 INJ","$83,135.61 usd"
4/14/22 00:00,"21,580.00 INJ","$117,017.55 usd"
4/7/22 00:00,"16,150.00 INJ","$98,030.50 usd"
3/31/22 00:00,"13,070.00 INJ","$81,034.00 usd"
3/24/22 00:00,"12,900.00 INJ","$71,595.00 usd"
3/17/22 00:00,"14,036.00 INJ","$72,832.80 usd"
3/10/22 00:00,"12,660.00 INJ","$67,667.70 usd"
3/3/22 00:00,"9,960.00 INJ","$55,576.80 usd"
2/24/22 00:00,"13,275.00 INJ","$76,729.50 usd"
2/17/22 00:00,"7,242.00 INJ","$45,262.50 usd"
2/10/22 00:00,"9,182.00 INJ","$44,349.06 usd"
2/3/22 00:00,"26,756.00 INJ","$115,853.48 usd"
1/27/22 00:00,"43,973.00 INJ","$194,492.58 usd"
1/20/22 00:00,"30,362.00 INJ","$192,798.70 usd"
1/13/22 00:00,"58,600.00 INJ","$430,124.00 usd"
1/6/22 00:00,"33,100.00 INJ","$272,744.00 usd"
12/30/21 00:00,"21,272.10 INJ","$187,619.92 usd"
12/23/21 00:00,"21,101.01 INJ","$175,222.79 usd"
12/16/21 00:00,"40,000.00 INJ","$370,680.00 usd"